project,ComplexClass,BlobClass,LongMethodRule,IntensiveCoupling,DivergentChange,GodClass,CommentDetectionRule,LazyClass,LongParameterList,FeatureEnvy,ShotgunSurgery,SwitchStatementRule,SpeculativeGeneralityInterfaces,PrimitiveObsession,InappropriateIntimacy,StableAbstractionBreaker,BrainMethod,DataClump,CyclicDependencies,DataClassRule,SpeculativeGeneralityMethods,MiddleMan,AlternativeClassesWithDifferentInterfaces,MessageChainRule,RefusedBequest,SwissArmyKnife,UnstableDependencies,ParallelInheritanceHierarchies,TraditionBreakerRule,Classes,Methods,Variables,Interfaces
7f339710-9d76-4c20-8fc2-8e2717154c0c,4,1,60,22,136,4,636,6,32,27,7,9,1,14,2,16,4,2,1,0,0,0,0,0,0,0,0,0,0,19,198,174,2
cecdd830-7a72-4fa6-84f0-c423b9794ffe,1,1,12,2,20,0,277,1,1,1,2,12,0,13,0,4,4,0,0,1,6,0,0,0,0,0,0,0,0,4,27,37,0
0c6c6059-1e5e-42a3-88b8-4a7a554b97c3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1,0
c4f73d1d-e291-4b31-90a1-3d1100a318fd,2,0,12,2,48,1,567,22,7,6,10,2,0,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,29,90,49,1
f11f7fe6-04c8-4bfe-9a18-63cb28b1d55b,2,0,22,4,76,3,199,28,37,7,4,8,1,10,0,34,0,0,0,4,7,3,6,2,0,0,0,0,0,5,14,5,0
55905b5c-638c-44a4-aa6c-1ffa9ab44b71,0,0,3,1,20,2,12,2,5,2,0,3,0,5,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,9,37,24,0
1fa50533-400b-4e47-8ccf-1a1cef07c267,0,0,5,0,14,0,12,4,4,0,2,0,1,2,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,7,24,7,1
ead92d3a-d812-4ed5-98c3-f01efa76f134,2,1,16,12,67,1,30,14,14,4,4,1,0,13,2,26,2,2,0,1,0,0,6,0,1,0,0,0,0,34,109,41,0
91447154-1686-4676-b3c7-8ebd4b64a195,2,0,10,7,37,6,16,13,7,19,2,0,0,7,0,21,0,6,0,1,2,0,0,1,0,0,0,0,0,26,78,104,0
adc366c0-226a-41e0-856b-8e4ae761a06e,4,1,17,7,49,5,101,17,15,5,1,2,2,9,0,24,2,2,1,1,0,1,2,9,0,0,0,0,0,27,83,67,3
7c538eaa-2617-4477-8294-490fbec2dfce,7,2,43,13,90,11,181,24,18,29,33,11,0,17,0,25,0,2,0,0,0,0,16,0,0,1,0,0,0,37,233,158,2
1879e1e9-9705-4156-b594-eb0e88170550,0,0,3,2,16,1,86,1,1,3,2,1,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,9,40,13,0
e9300410-496a-4f32-8733-4f6cc92b8737,1,0,16,0,54,1,205,15,11,8,1,3,1,10,0,17,0,0,0,0,12,0,4,1,1,0,0,0,0,22,102,39,2
4e33fd2a-fac2-48c7-a2d7-5e1d24847009,3,0,23,3,50,14,183,10,9,20,8,3,0,31,0,25,3,4,0,1,1,1,4,0,0,0,0,0,0,29,119,325,2
c3fe3690-54f9-4521-8635-eb377c0de210,3,2,33,16,117,7,37,40,24,20,6,7,1,39,2,48,0,0,2,1,2,0,18,0,0,0,1,0,0,79,221,148,1
6ff08173-1515-4598-b6da-85eab36ad912,8,2,70,19,237,15,117,56,50,39,21,11,0,31,4,68,2,2,1,2,6,4,50,0,0,0,0,0,0,104,386,243,0
d65ee9e3-19e5-4a77-a5ca-34390d158dba,3,3,23,2,83,4,428,53,40,25,15,8,0,13,6,46,1,0,0,22,0,0,26,4,1,0,0,0,0,60,195,342,13
78cba354-72ec-4910-a018-4011c46d6065,0,0,7,3,12,2,35,5,11,4,1,0,1,3,0,7,1,0,0,1,2,0,0,0,0,0,0,0,0,9,27,29,1
6a261a39-032c-4fdb-93b3-026243bf899b,9,4,51,19,333,22,86,48,80,93,26,13,0,37,12,87,0,24,5,10,10,14,100,3,5,0,0,0,0,96,688,344,0
8c61b3c6-3d18-4bca-bb37-c3fae5ea4380,2,1,13,4,26,1,157,4,5,2,6,6,0,11,2,9,2,0,2,0,0,0,0,0,0,0,1,0,0,10,53,74,0
dc2ba848-66ed-4360-85e9-588c4d12d00f,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0
9790ed2f-e3a3-47d9-a767-18f44f88f074,6,1,63,17,221,18,135,32,63,30,10,4,0,22,0,81,0,14,1,5,0,1,24,1,0,0,0,4,0,89,343,185,3
31aa8ceb-f046-462e-9446-c4257cc43fb6,0,0,5,3,27,3,0,7,11,7,1,0,0,6,0,9,0,2,0,0,23,0,0,2,0,1,0,0,0,14,101,43,2
04adb8af-42f5-4f3f-a277-0984d4e60da9,3,1,27,7,108,4,27,37,20,23,8,13,1,32,0,40,0,0,0,7,0,1,2,0,0,0,0,0,0,54,202,187,2
fa507424-6d06-48e1-baa8-d1376260f492,7,0,21,19,114,7,23,13,4,33,34,16,0,28,4,15,2,2,1,0,0,0,12,0,0,1,0,0,0,28,235,75,1
e49eed4e-d6f2-463e-b793-7afa1969af04,1,1,13,2,31,3,367,3,10,8,1,10,0,8,0,8,1,0,2,1,3,0,2,0,0,0,0,0,0,11,62,46,1
2c7f421b-c2e9-438d-97d7-8f8f8e766065,0,0,4,3,19,2,14,8,5,0,4,3,0,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,13,41,23,1
c5743c15-61ad-4914-ac68-c185f35ecace,2,0,28,5,88,6,58,23,6,9,3,8,3,15,0,32,0,0,0,0,0,0,4,1,2,0,0,0,0,46,146,70,3
53d336da-4ed0-48fc-9294-7c5fd1e60b0b,3,0,35,6,56,3,853,3,16,4,2,14,0,20,0,16,3,2,2,0,0,0,2,0,0,0,0,0,0,19,107,120,2
da3730f7-8f29-48be-bd26-7ede3a4b4569,0,0,1,1,4,1,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,0
0b1a7f03-3054-4da5-887c-31f19471bdbe,5,1,29,12,86,6,41,17,28,5,8,3,0,16,0,35,1,0,2,1,0,0,2,3,0,0,0,0,0,42,165,99,1
571ac88b-9b75-4b2a-b4ef-f2f070ea95ba,0,3,13,3,91,7,13,46,27,23,5,6,6,20,2,36,1,4,2,3,1,0,4,3,0,2,1,0,0,51,254,112,13
4ab6f50d-4f80-442d-ad0f-c0e31a179fb1,3,1,25,10,72,10,175,21,21,16,13,7,0,24,6,48,1,0,7,6,1,0,2,0,0,0,2,0,0,53,184,151,0
893cbbc0-82c3-43b2-abaa-095a917bd4d0,2,0,58,9,128,8,121,51,57,2,7,7,0,37,0,69,1,6,0,9,2,0,2,3,0,0,0,0,0,101,330,175,3
39cd6e28-1840-42bd-842e-eba5db5f240e,1,0,10,5,30,5,51,9,4,3,1,0,0,3,0,17,0,0,0,2,0,0,2,1,0,0,0,0,0,22,59,41,0
7b638f63-da48-4f14-8822-09520f74f6ef,3,0,42,17,65,3,328,1,13,14,6,18,0,7,2,8,5,0,0,0,2,0,0,0,0,0,0,0,0,9,109,155,1
d77409fc-52c8-45de-8913-41549adff92c,0,2,28,8,159,15,39,97,43,40,5,8,12,52,0,93,0,4,0,10,3,4,8,10,0,5,0,0,0,127,470,264,32
75fe000d-462f-4556-b896-b1c3a32794db,2,1,14,1,52,3,105,12,12,12,8,4,1,11,0,25,0,0,0,7,5,0,4,8,0,0,0,0,0,20,78,123,1
efdeaab6-9071-4881-af45-e40198ed4d6f,1,0,9,7,31,3,51,10,10,11,2,4,0,8,0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,17,62,34,1
4bfc5e7e-cf89-4d26-b4ac-140e51f3f28a,25,10,187,70,714,37,522,279,109,111,48,59,25,96,2,250,4,6,1,5,9,3,316,24,3,2,0,0,1,432,1480,476,30
da5ea5c1-2c25-461c-b127-faf183b67eb8,6,2,46,16,148,3,65,94,32,19,2,10,8,38,0,56,1,2,2,3,3,3,14,5,0,1,0,,0,137,335,204,10
b276b673-2fce-45fb-adff-3c02d7c25ab7,4,3,40,14,116,6,325,46,25,30,15,7,0,18,0,54,2,2,1,4,4,2,24,0,1,0,0,,0,66,223,172,3
65f3fe39-9acf-4b8f-a8a7-5c517c53159f,0,0,0,1,6,1,1,1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,2,12,7,0
de260252-235c-468d-ae71-ce664ad0339c,1,1,3,1,12,2,18,2,0,3,1,2,0,2,0,3,0,2,1,0,0,0,0,0,0,1,0,,0,3,24,23,1
fb03bbed-ab6e-4744-ab21-336776d6fe28,6,7,59,14,196,13,262,140,80,75,1,4,34,41,12,68,1,34,0,6,3,0,28,5,1,0,0,,0,147,661,399,41
17a8dae9-9675-4aba-a4da-821a9f9a0ea9,0,0,2,1,10,0,0,5,2,0,0,1,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,,0,8,20,5,0
f483bec8-3fce-448d-968b-4676855579a9,0,0,1,0,2,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,1,2,7,0
97926e60-dc5f-4d8e-8127-e60001e61e8e,31,8,151,84,572,43,776,86,222,124,68,41,16,50,4,142,4,8,7,10,28,2,227,19,4,3,2,,0,174,1335,589,23
6a427ddb-bedf-4068-aa61-4bbbd2af942d,4,0,24,18,96,4,105,31,23,9,4,7,0,37,0,29,0,50,2,2,1,1,14,7,0,2,0,,0,56,189,158,3
ff2ff434-531e-4cbd-930a-309853ff4254,0,0,4,1,11,0,0,2,0,2,1,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,3,14,15,0
526bef98-3702-46a2-bae4-43b10b4dfb4a,0,0,1,1,1,1,17,0,4,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,3,13,4,0
58bc78b3-e6e0-42aa-aab7-582342c2d91a,14,3,94,38,357,25,411,61,135,100,12,21,13,39,4,86,2,2,2,6,24,2,40,8,0,1,0,,0,101,726,300,15
637c5f1a-beeb-4a5e-aa81-27223afda576,1,0,18,5,56,3,87,23,15,12,2,8,0,18,0,32,0,0,2,4,0,0,0,4,0,0,0,,0,47,152,96,0
