project,lines
04adb8af-42f5-4f3f-a277-0984d4e60da9,9688
0b1a7f03-3054-4da5-887c-31f19471bdbe,5297
0c6c6059-1e5e-42a3-88b8-4a7a554b97c3,5009
1879e1e9-9705-4156-b594-eb0e88170550,1361
1fa50533-400b-4e47-8ccf-1a1cef07c267,7450
2c7f421b-c2e9-438d-97d7-8f8f8e766065,949
31aa8ceb-f046-462e-9446-c4257cc43fb6,894
34219856-6f80-4379-9698-c3c119122fbe,2742
39cd6e28-1840-42bd-842e-eba5db5f240e,1447
4ab6f50d-4f80-442d-ad0f-c0e31a179fb1,3315
4bfc5e7e-cf89-4d26-b4ac-140e51f3f28a,25670
4e33fd2a-fac2-48c7-a2d7-5e1d24847009,2233
53d336da-4ed0-48fc-9294-7c5fd1e60b0b,4166
55905b5c-638c-44a4-aa6c-1ffa9ab44b71,583
571ac88b-9b75-4b2a-b4ef-f2f070ea95ba,2707
6a261a39-032c-4fdb-93b3-026243bf899b,14124
6ff08173-1515-4598-b6da-85eab36ad912,7710
75fe000d-462f-4556-b896-b1c3a32794db,1402
78cba354-72ec-4910-a018-4011c46d6065,15012
7b638f63-da48-4f14-8822-09520f74f6ef,4010
7c538eaa-2617-4477-8294-490fbec2dfce,3774
7f339710-9d76-4c20-8fc2-8e2717154c0c,5197
893cbbc0-82c3-43b2-abaa-095a917bd4d0,7879
8c61b3c6-3d18-4bca-bb37-c3fae5ea4380,2022
91447154-1686-4676-b3c7-8ebd4b64a195,1179
9790ed2f-e3a3-47d9-a767-18f44f88f074,7134
adc366c0-226a-41e0-856b-8e4ae761a06e,1904
c3fe3690-54f9-4521-8635-eb377c0de210,4088
c4f73d1d-e291-4b31-90a1-3d1100a318fd,2146
c5743c15-61ad-4914-ac68-c185f35ecace,2771
cecdd830-7a72-4fa6-84f0-c423b9794ffe,4375
d65ee9e3-19e5-4a77-a5ca-34390d158dba,4082
d77409fc-52c8-45de-8913-41549adff92c,5872
da3730f7-8f29-48be-bd26-7ede3a4b4569,6565
dc2ba848-66ed-4360-85e9-588c4d12d00f,352
e49eed4e-d6f2-463e-b793-7afa1969af04,1648
e9300410-496a-4f32-8733-4f6cc92b8737,1933
ead92d3a-d812-4ed5-98c3-f01efa76f134,1707
efdeaab6-9071-4881-af45-e40198ed4d6f,1415
f11f7fe6-04c8-4bfe-9a18-63cb28b1d55b,4809
fa507424-6d06-48e1-baa8-d1376260f492,4431
1148136e-ec35-4752-ab4b-fb3e0d8ce47a,1733
17a8dae9-9675-4aba-a4da-821a9f9a0ea9,465
259b6e37-8c59-44f3-8bcc-cff968a0abc7,168
31251c40-5b74-48dd-9a4b-79abda9ddd3b,19652
313e03d2-0854-4c3c-85fc-03be1b63bd84,2167
410f853f-c66a-4818-93db-01dca73caae9,1812
